Case Number,Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Investigator or Source
2018.05.00,May 2018,2018,Provoked,AUSTRALIA,Westerm Australia,Dugong Bay,Feeding sharks,F,34,Shallow lacerations to finger PROVOKED INCIDENT,N,,"Perth Now, 6/30/2018"
2018.05.12,12-May-2018,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",Surfing,M,,"Minor injury, marks on board",N,morning,"B.Jacob, Dispatch Live, 5/12/2018"
2018.05.09,09-May-2018,2018,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",Surfing,M,,"No injury, surfboard damaged",N,morning,"B. Myatt, GSAF"
2018.04.30.R,Reported 30-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,,Minor injury to ankle,N,,"K. McMurray, TrackingSharks.com"
2018.04.28.b,28-Apr-2018,2018,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,M,30,"No injury, shark bit scuba gear",N,morning,Costa Rica Star. 4/28/2018
2018.04.28.a,28-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Gearys Beach,Surfing,M,,"No injury, knocked off board by shark",N,afternoon,"B. Myatt, GSAF"
2018.04.25.b,25-Apr-2018,2018,Questionable,AUSTRALIA,New South Wales,Lennox Head,Surfing,M,,No injury,N,morning,"B. Myatt, GSAF"
2018.04.25.a,25-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",Surfing,M,60,"No injury, knocked off board by shark",N,morning,"B.Myatt, GSAF"
2018.04.24,24-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,"No injury, shark struck his leg",N,afternoon,"B. Myatt, GSAF"
2018.04.23,23-Apr-2018,2018,Unprovoked,MALDIVES,Alifu Alifu Atoll,Madoogali,Fishing,M,32,5-inch cut to hand,N,,"K. McMurray, TrackingSharks.com"
2018.04.22,22-Apr-2018,2018,Unprovoked,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,morning,"Africa News Agency, 4/22/2018"
2018.04.19,19-Apr-2018,2018,Unprovoked,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",Body boarding,M,29,Lacerations to right lower leg,N,,"The Garden Island, 4/19/2018"
2018.04.15.d,15-Apr-2018,2018,Unprovoked,THAILAND,Hua Hin,Sai Noi Beach,Swimming,M,54,Lacerations to foot and ankle,N,,"Straits Times, 4/16/2018"
2018.04.15.c,15-Apr-2018,2018,Unprovoked,BRAZIL,Pernambuco,Piedade,Swimming,M,34,"Multiple severe injuries to arms and leg, leg subsequently surgically amputated",,,"Globo, 4/16/2018"
2018.04.15.b,15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",Surfing,M,41,Laceration to right thigh,N,,"B.Myatt, GSAF"
2018.04.15.a,15-Apr-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",Surfing,M,37,Lacerations to legs,N,morning,"B.Myatt, GSAF"
2018.04.14,14-Apr-2018,2018,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,Surfing,M,,No Injury. Shark swam away with the surf board,N,morning,"Tribune242,"
2018.04.10.R,Reported 10-Apr-2018,2018,Invalid,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",Fishing,M,56,Injury to ankle from marine animal trapped in weir PROVOKED INCIDENT. ,N,,"K. McMurray, TrackingSharks.com"
2018.04.05,05-Apr-2018,2018,Unprovoked,BAHAMAS,,Bimini,Swimming,M,12,"2 puncture wounds to left foot, abrasion to right foot",N,afternoon,"K. McMurray, TrackingSharks.com"
2018.04.03,03-Apr-2018,2018,Unprovoked,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,Surfing,M,19,Lacerations to left knee & lower leg,N,afternoon,"K. McMurray, TrackingSharks.com"
2018.03.31,31-Mar-2018,2018,Unprovoked,USA,Hawaii,Kukio Beach,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,morning,"Khon2, 3/31/2018"
2018.03.14,14-Mar-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,Wading,M,10,Minor injuries to legs,N,afternoon,"B. Myatt, GSAF"
2018.03.09.b,9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Lorne,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,afternoon,"B. Myatt, GSAF"
2018.03.09.a,9-Mar-2018,2018,Unprovoked,AUSTRALIA,Victoria,Winkipop,Surfing,M,18,"Minor injury, ankle grazed",N,morning,"B. Myatt, GSAF"
2018.02.24,24-Feb-2018,2018,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,Scuba Diving,M,38, The shark & man simply collided; neither were injured,N,,"International Business Times, 3/1/2018"
2018.02.23,23-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",Swimming,F,55,Laceratons to right leg & foot,N,afternoon,"B. Myatt, GSAF"
2018.02.17,18-Feb-2018,2018,Provoked,AUSTRALIA,Victoria,Westernport Bay,Kayak fishing for sharks,M,34,"Shark rammed kayak, no injury to occupant  PROVOKED INCIDENT",N,night,"B. Myatt, GSAF"
2018.02.15,15-Feb-2018,2018,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",Walking,M,35,Puncture wounds to leff foot & lower leg,N,afternoon,"B. Myatt, GSAF"
2018.02.14,14-Feb-2018,2018,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,Swimming,F,,"Collision / No injury, no attack",N,afternoon,"Sunshine Coast Daily, 2/15/2018"
2018.02.11,11-Feb-2018,2018,Invalid,BRAZIL,"Boi Island, Victoria",Espirito Santo,Cleaning fish,F,46,Lacerations to 4 toes of right foot,N,,TrackingSharks.com
2018.02.03,03-Feb-2018,2018,Unprovoked,ECUADOR,Galapagos Islands,Santa Fe Island,Snorkeling,M,45,Injuries to right foot,N,,"The Standard (UK), 2/6/2018"
2018.02.01,01-Feb-2018,2018,Invalid,AUSTRALIA,Western Australia,"Avalon Point, Manurah",Spearfishing,M,14,"No injury no attack. This is considerd an ""encounter""",N,,"The West Australian, 2/2/2018"
2018.01.28,28-Jan-2018,2018,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,,M,18,Injuries to right leg,N,morning,"ABC.net.au, 01/28/2018"
2018.01.21,21-Jan-2018,2018,Unprovoked,NEW CALEDONIA,,Nouville,Spearfishing,M,40,Injuries to abdomen and arm,N,afternoon,TrackingSharks.com
2018.01.14,14-Jan-2018,2018,Unprovoked,AUSTRALIA,Queensland,Lizard Island,Diving,M,,Severe laceration to left forearm,N,afternoon,"B. Myatt, GSAF"
2018.01.13,13-Jan-2018,2018,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,Free diving,M,28,"No injury, shark took his swimfin",N,,"B. Myatt, GSAF"
2018.01.12,12-Jan-2018,2018,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,Surfing,M,20,Minor injury to left forearm,N,,TrackingSharks.com
2018.01.05,05-Jan-2018,2018,Unprovoked,AUSTRALIA,Western Australia,"South Point, Gracetown",Surfing,M,,Foot bitten,N,,"Perth Now, 1/6/2018"
2017.12.31,31-Dec-2017,2017,Unprovoked,USA,Hawaii,"Hultin's Beach, Oahu",Surfing,F,54,Severe lacerations to left thigh & knee,N,afternoon,"J. Howard, Surfling Now, 1/2/2018"
2017.12.30,30-Dec-2017,2017,Unprovoked,USA,California,"Drakes Estero, Point Reyes, Marin County",Surfing,F,35,Foot bitten,N,morning,R. Collier
2017.12.21,21-Dec-2017,2017,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,Fishing / Wading,M,24,"Minor injury to thigh, PROVOKED INCIDENT",N,,TrackingSharks.com
2017.12.09,09-Dec-2017,2017,Unprovoked,BAHAMAS,,,Snorkeling,F,25,Minor injury to arm,N,,"Daily Star, 12/11/2017"
2017.11.30.b,30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba Diving,M,26,Serious injury to leg,N,,R. Arauz
2017.11.30.a,30-Nov-2017,2017,Unprovoked,COSTA RICA,Cocos Island,Manuelita,Scuba diving,F,49,FATAL,Y,,R. Arauz
2017.11.24,24-Nov-2017,2017,Unprovoked,USA,California,"Stillwater Cove, Monterey County",Spearfishing,M,25,Right leg bitten,N,afternoon,"R. Collier, GSAF"
2017.11.18,18-Nov-2017,2017,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",Surfing,F,14,Heel bitten,N,,"Florida Today, 11/21/2017"
2017.11.13,13-Nov-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,Surfing,M,25,Puncture wounds to left shoulder,N,afternoon,"B. Myatt, GSAF"
2017.11.04,04-Nov-2017,2017,Unprovoked,CUBA,Holquin Province,Guardalavaca Beach,Night bathing,M,22,FATAL,Y,,TrackingSharks.com
2017.10.31.R,Reported 31-Oct-2017,2017,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,Snorkeling,M,7,Calf injured,N,,"Townsville Bulletin, 10/31/2017"
2017.10.28,28-Oct-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,Surfing,M,31,Minor injury to foot,N,morning,"B. Myatt, GSAF"
2017.10.26,26-Oct-2017,2017,Unprovoked,USA,Hawaii,"White Plains Beach, Oahu",Stand-Up Paddleboarding,M,,No injury but shark bit SUP,N,afternoon,"Hawaii News Now, 10/27/2017"
2017.10.23.c,23-Oct-2017,2017,Unprovoked,MAURITIUS,Pamplemousses ,Le Goulet,Swimming,M,,Minor injury to foot,N,afternoon,"J. LeBlanc, GSAF"
2017.10.23.b,23-Oct-2017,2017,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Surfing ,M,17,Lacerations to left foot,N,afternoon,"WPBF News, 10/24/2017"
2017.10.23.a,23-Oct-2017,2017,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Swimming,F,60,Severe lacerations to left hand & wrist,N,morning,"Palm Beach Post, 11/1/2017"
2017.10.22,22-Oct-2017,2017,Unprovoked,AUSTRALIA,South Australia,Normanville,Kayaking / Fishing,F,15,Minor injuries,N,afternoon,"Nine News, 10/22/2017"
2017.10.21,21-Oct-2017,2017,Unprovoked,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",Kayaking,M,,"No injury, shark shook kayak x3 ",N,morning,"New Zealand Herald, 10/22/2017"
2017.10.18,18-Oct-2017,2017,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",Swimming,M,,Puncture wounds & lacerations to foot,N,afternoon,"WPTV, 10/19/2017"
2017.10.09,09-Oct-2017,2017,Unprovoked,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",Surfing,M,54,Lacerations to left hand,N,afternoon,"Hawaii News Now, 10/10/2017"
2017.10.05,05-Oct-2017,2017,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",Snorkeling,F,40,Abrasions,N,morning,"Maui Now, 10/5/2017"
2017.10.01,01-Oct-2017,2017,Invalid,SOUTH AFRICA,Western Cape Province,Dyer Island,Scuba Diving,M,31,FATAL,,,"All Africa, 10/11/2017 "
2017.09.25.b,25-Sep-2017,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,,Lacerations to lower left leg and foot,N,morning,"News4Jax, 9/26/2017"
2017.09.25.a,25-Sep-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Gracetown,Surfing,M,,"No injury, board damaged by shark",N,afternoon,"Stab Magazine, 9/26/2017"
2017.09.24.b,24-Sep-2017,2017,Invalid,USA,New York,Rockaway,Surfing,M,33,"Lacerations to right ankle, foot & toe",,afternoon,"S. Curatolo-Wageman, GSAF"
2017.09.24.a,24-Sep-2017,2017,Unprovoked,USA,Florida,Fort Worth,Surfing,M,,Laceration to upper arm,N,afternoon,"Sun Sentinel, 9/24/2017"
2017.09.20,20-Sep-2017,2017,Unprovoked,USA,Florida,Palm Beach County,Surfing,M,,Minor lacerations to sole of left foot,N,morning,"WPTV, 9/25/2017"
2017.09.16.b,16-Sep-2017,2017,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,Body surfing,M,13,Lacerations to right foot,N,,Turismo La Aldea
2017.09.16.a,16-Sep-2017,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,28,Lacerations to left foot,N,afternoon,"Orlando Sentinel, 9/16/2017"
2017.09.15.b,15-Sep-2017,2017,Invalid,SOUTH AFRICA,Western Cape Province,Hawston,Scuba Diving,M,25,"FATAL, but death was probably due to drowning",,afternoon,"Ground Up, 9/20/2017"
2017.09.15.a,15-Sep-2017,2017,,SAMOA, Upolu Island,Nofoalii,Fishing,M,,Injuries to hands and legs,N,night,"Samoa Observer, 9/16/2017"
2017.09.13,13-Sep-2017,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,18,Lacerations to left foot,N,afternoon,"TrackingSharks.com, 10/22/2017"
2017.09.10.b,10-Sep-2017,2017,Unprovoked,AUSTRALIA,Westerm Australia,Sam's Creek area,Swimming,M,,Minor injuries,N,afternoon,"West Australian, 9/11/2017"
2017.09.10.a,10-Sep-2017,2017,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,Surfing,M,35,Minor lacerations to right hip,N,morning,"B. Myatt, GSAF"
2017.09.03.b,03-Sep-2017,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,"Swimming, poaching abalone",M,,FATAL,Y,morning,"All Africa, 10/11/2017"
2017.09.03.a,03-Sep-2017,2017,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,Surfing,M,42,Injury to ankle & feet,N,morning,"Japan Today, 9/4/2017"
2017.09.02.c,02-Sep-2017,2017,Unprovoked,USA,Florida,"Marathon, Monroe County",Swimming,M,,Lacerations to abdomen,N,,NewsFlare
2017.09.02.b,02-Sep-2017,2017,Unprovoked,USA,Texas,"South Padre Island, Cameron County",Swimming,F,,Lacerations to foot,N,,"Brownsville Herald, 9/5/2017"
2017.09.02.a,02-Sep-2017,2017,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,17,Minor injury to right hand,N,morning,"Click Orlando, 9/2/2017"
2017.08.29,29-Aug-2017,2017,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,Surfing,M,37,"No injury, board bitten",N,morning,"B. Myatt, GSAF"
2017.08.27,27-Aug-2017,2017,Unprovoked,USA,Florida,Bathtub Beach ,Wading,F,3,Leg injured,N,morning,"Sun Sentinel, 8/27/2017"
2017.08.26.b,26-Aug-2017,2017,Invalid,SPAIN,Castellón,Grao de Moncofa,Swimming,F,11,Lacerations to left foot,,,"El Periodico Mediterraneo, 8/27/2017"
2017.08.26.a,26-Aug-2017,2017,Unprovoked,NEW ZEALAND,North Island,Off Tutukaka,Canoeing,M,,"No injury, shark bit canoe",N,,"C.Black, GSAF"
2017.08.23,23-Aug-2017,2017,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",SUP,M,69,Not injured by shark but board bitten,N,morning,"Cape Cod Times, 8/23/2017"
2017.08.18,18-Aug-2017,2017,Unprovoked,BAHAMAS,,,Spearfishing,M,,Hand injured,N,afternoon,"CBS12, 8/18/2017"
2017.08.10,10-Aug-2017,2017,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",Swimming,M,13,Minor cuts to sole & toes of left foot,N,morning,"C. Creswell, GSAF"
2017.08.05,05-Aug-2017,2017,Unprovoked,EGYPT,Red Sea Protectorate,Marsa Ghalib,Snorkeling,F,20,Bite to right leg/hip,N,,"Egyptian government, 8/5/2017"
2017.08.03,03-Aug-2017,2017,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,,"MassLive, 8/4/2017"
2017.08.01,01-Aug-2017,2017,Boating,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",Kayaking / Fishing,M,,"No injury, bow of kayak bitten",N,morning,"R. Collier, GSAF"
2017.07.31,31-Jul-2017,2017,Unprovoked,USA,Florida,"Jacksonvlle, Duval County",Skimboarding,M,15,Lacerations to lower leg,N,afternoon,"K. McMurray, Tracking Sharks"
2017.07.29.c,29-Jul-2017,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,M,10,Abrasions and cuts to sole of foot,,afternoon,"C. Creswell, GSAF"
2017.07.29.a,29-Jul-2017,2017,Unprovoked,USA,South Carolina,"DeBordieu Colony, Georgetown County",,F,12,Bite to left thigh / minor injury,N,afternoon,"C. Creswell, GSAF"
2017.07.27,27-Jul-2017,2017,Unprovoked,BAHAMAS,New Providence District,Rose Island,Snorkeling,F,,Foot & ankle injured,N,,"R. Rolle, Tribune 242,  7/28/2017"
2017.07.24,24-Jul-2017,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Surfing,M,37,Torso bitten,N,afternoon,"Telegraph UK, 7/28/2017"
2017.07.23.b,23-Jul-2017,2017,Unprovoked,USA,New Jersey,Ventnor,,F,,Minor injury to hand,N,,A. Smith
2017.07.23.a,23-Jul-2017,2017,Unprovoked,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",Swimming,F,,Abrasion to arm from shark's rough skin,N,afternoon,"Daily Record, 7/24/2017"
2017.07.22,22-Jul-2017,2017,Unprovoked,USA,Florida,"Snipes Point, Monroe County",,F,40,Foot bitten,N,morning,"NBC Miami, 7/23/2017"
2017.07.20.c,20-Jul-2017,2017,Invalid,USA,South Carolina,"Hilton Head Island, Beaufort County",Swimming,F,8,Foot injured,,,"C. Creswell, GSAF"
2017.07.20.b,20-Jul-2017,2017,Boating,USA,California,"Stearns Wharf, Santa Barbara",Kayaking,M,40,"No injury, kayak bitten",N,morning,"R. Collier, GSAF"
2017.07.20.a,20-Jul-2017,2017,Unprovoked,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",SUP,M,50,"No injury, shark bit paddleboard",N,morning,"R. Collier, GSAF"
2017.07.14.b,14-Jul-2017,2017,Unprovoked,USA,Washington,"South Beach, Westport, Grays Harbor County",Surfing,M,,Pulled off board by shark but no injury,N,afternoon,"R. Collier, GSAF"
2017.07.14.a,14-Jul-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,Surfing,M,,"Minor injury, grazed by shark",N,morning,
2017.07.11,11-Jul-2017,2017,Boating,USA,California,"Santa Cruz, Santa Cruz County",Kayaking,M,,"No injury, kayak bitten",N,morning,"R. Collier, GSAF"
2017.07.09,09-Jul-2017,2017,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",Swimming,M,46,Lower legs bitten,N,afternoon,"Miami-Beach Patch, 7/9/2017"
2017.07.07.R,Reported 07-Jul-2017,2017,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",Fishing,M,32,Hand bitten by hooked shark PROVOKED INCIDENT,N,,"Tabasco Hoy, 7/7/2017"
2017.07.07,07-Jul-2017,2017,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",Surfing,F,13,"No injury, shark bit surfboard",N,afternoon,"Dispatch Live, 7/7/2027"
2017.06.29,29-Jun-2017,2017,Invalid,USA,South Carolina,Wrightsville Beach,Fishing,M,,"Arm injured by hook, not by a shark",,afternoon,"C. Creswell, GSAF"
2017.06.21,21-Jun-2017,2017,Unprovoked,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",Swimming,F,16,Left foot bitten,N,,"C. Creswell, GSAF"
2017.06.19,19-Jun-2017,2017,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",Surfing,M,,1 to 2-inch laceration behind knee,N,morning,"CBS12, 6/19/2017"
2017.06.18.b,18-Jun-2017,2017,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,F,14,Leg bitten,N,,"C. Creswell, GSAF"
2017.06.18.a,18-Jun-2017,2017,Unprovoked,REUNION,,Roches Noire,Body boarding,M,34,"No injury, shark bit surfboard ",N,morning,"Clincanoo, 6/19/2017"
2017.06.17,17-Jun-2017,2017,Unprovoked,SPAIN,Ibiza Island,Playa den Bossa,Swimming,M,82,2-inch laceration to hand,N,morning,"Diario de Ibiza, 6/17/'2017"
2017.06.05,2017.06.05,2017,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",Surfing,M,,Injuries to hand and wrist,N,,"Tahiti Infos, 6/6/2017"
2017.06.11,11-Jun-2017,2017,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",Body boarding,M,48,"No injury, board bitten",N,morning,"WA Today, 6/11/2017"
2017.06.10.b,10-Jun-2017,2017,Unprovoked,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",Surfing,F,,"No injury, knocked off board",N,afternoon,Victoria Shark Reports
2017.06.10.a,10-Jun-2017,2017,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,19,Laceration to left foot,N,morning,"Daytona Beach News-Journal, 6/10/2017"
2017.06.07.R,Reported 07-Jun-2017,2017,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,Surfing ,M,30,"Bruise to leg, cuts to hand sustained when he hit the shark",N,,"C. Moore, GSAF"
2017.06.04,04-Jun-2017,2017,Unprovoked,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,,Laceration to shin,N,,"Nine News, 6/7/2017"
2017.06.02,02-Jun-2017,2017,Unprovoked,BAHAMAS,New Providence ,Athol Island,Snorkeling,F,32,Right forearm severed ,N,morning,"Tribune 242, 6/2/2017"
2017.05.30,30-May-2017,2017,Provoked,USA,South Carolina,"Awendaw, Charleston County",Touching a shark,F,20,Right hand bitten by hooked shark PROVOKED INCIDENT,N,,"C. Creswell, GSAF"
2017.05.28,28-May-2017,2017,Unprovoked,USA,Florida,Off Jupiter,Feeding sharks,M,,Lacerations to right arm,N,morning,"M. Michaelson, GSAF"
2017.05.27,27-May-2017,2017,Invalid,AUSTRALIA,New South Wales,Evans Head,Fishing ,M,73,Abrasion to right forearm from pectoral fin of a shark that leapt into his boat,N,,"B. Myatt, GSAF"
2017.05.12,12-May-2017,2017,Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Khor Fakkan,Spearfishing,M,41,Right leg severely bitten,N,morning,"Gulf News, 5/13/2017"
2017.05.06.R,Reported 06-May-2017,2017,Provoked,AUSTRALIA,Queensland,Weipa,Attempting to lasso a shark,M,29,Thigh nipped PROVOKED INCIDENT,N,,"The Sun, 5/6/2017"
2017.05.06,05-May-2017,2017,Unprovoked,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",Snorkeling,M,33,FATAL,Y,afternoon,J. Rozada
2017.05.03,03-May-2017,2017,Invalid,USA,California,"Sunset Beach, Orange County",Surfing,F,18,"Laceration to thigh, likely caused by surfboard fin",,afternoon,"R. Collier, GSAF"
2017.04.29.d,29-Apr-2017,2017,Unprovoked,USA,California,"San Onofre, San Diego County ",Swimming,F,,Major injury to posterior thigh,N,afternoon,"R. Collier, GSAF"
2017.04.29.c,29-Apr-2017,2017,Unprovoked,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",Surfing,M,14,Minor injury to right calf,N,afternoon,"J. de Villiars, News24, 4/29/2017"
2017.04.29.b,29-Apr-2017,2017,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,F,33,Left foot bitten,N,morning,"C. Creswell, GSAF"
2017.04.29.a,29-Apr-2017,2017,Unprovoked,REUNION,Saint-Leu,Pointe au Sal,Body boarding,M,28,FATAL,Y,morning,"Clicanoo, 4/29/2017"
2017.04.27,27-Apr-2017,2017,Unprovoked,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",Body boarding,F,20,Puncture wounds & laceration above knee,N,afternoon,"C.Black, GSAF"
2017.04.22,22-Apr-2017,2017,Unprovoked,"ST HELENA, British overseas territory",Ascension Island,English Bay,Snorkeling,F,40,Calf & foot bitten,N,afternoon,"Daily Mail, 4/25/2017"
2017.04.20,20-Apr-2017,2017,Invalid,USA,South Carolina,Georgetown County,Swimming,M,,Laceration & puncture wounds to left foot,,morning,"C. Creswell, GSAF"
2017.04.17.a,17-Apr-2017,2017,Unprovoked,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,Surfing,F,17,FATAL,Y,afternoon,"B. Myatt, GSAF"
2017.04.14,14-Apr-2017,2017,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",Surfing,M,28,Lower right leg severely injured,N,morning,"Hawaii News Now, 4/14/2017"
2017.04.13,13-Apr-2017,2017,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",Surfing,M,17,Lacerations to right foot,N,morning,"News4Jax, 4/14/2017"
